"","Q1","Q1o1","Q1o2","Q1o3","Q1corr_ans","Q2","Q2o1","Q2o2","Q2o3","Q2corr_ans","Q3","Q3o1","Q3o2","Q3o3","Q3corr_ans"
"1","The Bishop sent a thank you letter to the top donor every year. Who would receive this letter?","A. Mr.Roberts","B. Dwights","C.There is not enough information","C.There is not enough information","Mr. Roberts was standing in front of the alter facing it. What direction would he need to go in order to walk to where the secret chamber is thought to be?","A. Left","B. Right","C.There is not enough information","C.There is not enough information","The number of people attending service at the chapel has","A.Increased","B.Decreased","C.There is not enough information","B.Decreased"
"2","The Bishop sent a thank you letter to the top donor every year. Who would receive this letter?","A. Mr.Roberts","B. Dwights","C.There is not enough information","B. Dwights","Mr. Roberts was standing in front of the alter facing it. What direction would he need to go in order to walk to where the secret chamber is thought to be?","A. Left","B. Right","C.There is not enough information","A. Left","The number of people attending service at the chapel has","A.Increased","B.Decreased","C.There is not enough information","B.Decreased"
"3","The Bishop sent a thank you letter to the top donor every year. Who would receive this letter?","A. Mr.Roberts","B. Dwights","C.There is not enough information","C.There is not enough information","Mr. Roberts was standing in front of the alter facing it. What direction would he need to go in order to walk to where the secret chamber is thought to be?","A. Left","B. Right","C.There is not enough information","A. Left","The number of people attending service at the chapel has","A.Increased","B.Decreased","C.There is not enough information","B.Decreased"
"4","The Bishop sent a thank you letter to the top donor every year. Who would receive this letter?","A. Mr.Roberts","B. Dwights","C.There is not enough information","B. Dwights","Mr. Roberts was standing in front of the alter facing it. What direction would he need to go in order to walk to where the secret chamber is thought to be?","A. Left","B. Right","C.There is not enough information","C.There is not enough information","The number of people attending service at the chapel has","A.Increased","B.Decreased","C.There is not enough information","B.Decreased"
"5","Mr. Roberts was standing in front of the alter facing it. What direction would he need to go in order to walk to where the secret chamber is thought to be?","A. Left","B. Right","C.There is not enough information","C.There is not enough information","The Bishop sent a thank you letter to the top donor every year. Who would receive this letter?","A. Mr.Roberts","B. Dwights","C.There is not enough information","C.There is not enough information","The number of people attending service at the chapel has","A.Increased","B.Decreased","C.There is not enough information","B.Decreased"
"6","Mr. Roberts was standing in front of the alter facing it. What direction would he need to go in order to walk to where the secret chamber is thought to be?","A. Left","B. Right","C.There is not enough information","A. Left","The Bishop sent a thank you letter to the top donor every year. Who would receive this letter?","A. Mr.Roberts","B. Dwights","C.There is not enough information","B. Dwights","The number of people attending service at the chapel has","A.Increased","B.Decreased","C.There is not enough information","B.Decreased"
"7","Mr. Roberts was standing in front of the alter facing it. What direction would he need to go in order to walk to where the secret chamber is thought to be?","A. Left","B. Right","C.There is not enough information","C.There is not enough information","The Bishop sent a thank you letter to the top donor every year. Who would receive this letter?","A. Mr.Roberts","B. Dwights","C.There is not enough information","B. Dwights","The number of people attending service at the chapel has","A.Increased","B.Decreased","C.There is not enough information","B.Decreased"
"8","Mr. Roberts was standing in front of the alter facing it. What direction would he need to go in order to walk to where the secret chamber is thought to be?","A. Left","B. Right","C.There is not enough information","A. Left","The Bishop sent a thank you letter to the top donor every year. Who would receive this letter?","A. Mr.Roberts","B. Dwights","C.There is not enough information","C.There is not enough information","The number of people attending service at the chapel has","A.Increased","B.Decreased","C.There is not enough information","B.Decreased"
"9","Every year there is a race to the top of the mountain which allows only the best to compete, who is most likely to qualify?","A.Bradley","B. Sam","C.There is not enough information","C.There is not enough information","Mountain Ranger Tim McMurphy is standing at the rest stop which way does he need to go to find where tourists throw their rubbish?","A. Up the mountain","B. Down the mountain","C.There is not enough information","C.There is not enough information","The rest stop on the mountain is frequently used by","A.Bird watchers","B.Bear hunters","C.There is not enough information","A.Bird Watchers"
"10","Every year there is a race to the top of the mountain which allows only the best to compete, who is most likely to qualify?","A.Bradley","B. Sam","C.There is not enough information","B. Sam","Mountain Ranger Tim McMurphy is standing at the rest stop which way does he need to go to find where tourists throw their rubbish?","A. Up the mountain","B. Down the mountain","C.There is not enough information","B. Down the mountain","The rest stop on the mountain is frequently used by","A.Bird watchers","B.Bear hunters","C.There is not enough information","A.Bird Watchers"
"11","Every year there is a race to the top of the mountain which allows only the best to compete, who is most likely to qualify?","A.Bradley","B. Sam","C.There is not enough information","C.There is not enough information","Mountain Ranger Tim McMurphy is standing at the rest stop which way does he need to go to find where tourists throw their rubbish?","A. Up the mountain","B. Down the mountain","C.There is not enough information","B. Down the mountain","The rest stop on the mountain is frequently used by","A.Bird watchers","B.Bear hunters","C.There is not enough information","A.Bird Watchers"
"12","Every year there is a race to the top of the mountain which allows only the best to compete, who is most likely to qualify?","A.Bradley","B. Sam","C.There is not enough information","B. Sam","Mountain Ranger Tim McMurphy is standing at the rest stop which way does he need to go to find where tourists throw their rubbish?","A. Up the mountain","B. Down the mountain","C.There is not enough information","C.There is not enough information","The rest stop on the mountain is frequently used by","A.Bird watchers","B.Bear hunters","C.There is not enough information","A.Bird Watchers"
"13","Mountain Ranger Tim McMurphy is standing at the rest stop which way does he need to go to find where tourists throw their rubbish?","A. Up the mountain","B. Down the mountain","C.There is not enough information","C.There is not enough information","Every year there is a race to the top of the mountain which allows only the best to compete, who is most likely to qualify?","A.Bradley","B. Sam","C.There is not enough information","C.There is not enough information","The rest stop on the mountain is frequently used by","A.Bird watchers","B.Bear hunters","C.There is not enough information","A.Bird Watchers"
"14","Mountain Ranger Tim McMurphy is standing at the rest stop which way does he need to go to find where tourists throw their rubbish?","A. Up the mountain","B. Down the mountain","C.There is not enough information","B. Down the mountain","Every year there is a race to the top of the mountain which allows only the best to compete, who is most likely to qualify?","A.Bradley","B. Sam","C.There is not enough information","B. Sam","The rest stop on the mountain is frequently used by","A.Bird watchers","B.Bear hunters","C.There is not enough information","A.Bird Watchers"
"15","Mountain Ranger Tim McMurphy is standing at the rest stop which way does he need to go to find where tourists throw their rubbish?","A. Up the mountain","B. Down the mountain","C.There is not enough information","C.There is not enough information","Every year there is a race to the top of the mountain which allows only the best to compete, who is most likely to qualify?","A.Bradley","B. Sam","C.There is not enough information","B. Sam","The rest stop on the mountain is frequently used by","A.Bird watchers","B.Bear hunters","C.There is not enough information","A.Bird Watchers"
"16","Mountain Ranger Tim McMurphy is standing at the rest stop which way does he need to go to find where tourists throw their rubbish?","A. Up the mountain","B. Down the mountain","C.There is not enough information","B. Down the mountain","Every year there is a race to the top of the mountain which allows only the best to compete, who is most likely to qualify?","A.Bradley","B. Sam","C.There is not enough information","C.There is not enough information","The rest stop on the mountain is frequently used by","A.Bird watchers","B.Bear hunters","C.There is not enough information","A.Bird Watchers"
"17","A survey has taken responses from people who visit the surgery which asks which GP they prefer to go to based on their personality. Who is the most popular GP in town?","A.Malcom","B.Sue","C.There is not enough information","C.There is not enough information","The cleaner is standing in the small play park and wants to polish the surgery’s floors, which way does he need to go to pick up his floor polisher?","A. Ahead","B.Back towards the surgery","C.There is not enough information","C.There is not enough information","The town’s surgery has recently___","A.Been refurbished","B.Burned down","C.There is not enough information","A.Been refurbished"
"18","A survey has taken responses from people who visit the surgery which asks which GP they prefer to go to based on their personality. Who is the most popular GP in town?","A.Malcom","B.Sue","C.There is not enough information","B.Sue","The cleaner is standing in the small play park and wants to polish the surgery’s floors, which way does he need to go to pick up his floor polisher?","A. Ahead","B.Back towards the surgery","C.There is not enough information","B.Back towards the surgery","The town’s surgery has recently___","A.Been refurbished","B.Burned down","C.There is not enough information","A.Been refurbished"
"19","A survey has taken responses from people who visit the surgery which asks which GP they prefer to go to based on their personality. Who is the most popular GP in town?","A.Malcom","B.Sue","C.There is not enough information","C.There is not enough information","The cleaner is standing in the small play park and wants to polish the surgery’s floors, which way does he need to go to pick up his floor polisher?","A. Ahead","B.Back towards the surgery","C.There is not enough information","B.Back towards the surgery","The town’s surgery has recently___","A.Been refurbished","B.Burned down","C.There is not enough information","A.Been refurbished"
"20","A survey has taken responses from people who visit the surgery which asks which GP they prefer to go to based on their personality. Who is the most popular GP in town?","A.Malcom","B.Sue","C.There is not enough information","B.Sue","The cleaner is standing in the small play park and wants to polish the surgery’s floors, which way does he need to go to pick up his floor polisher?","A. Ahead","B.Back towards the surgery","C.There is not enough information","C.There is not enough information","The town’s surgery has recently___","A.Been refurbished","B.Burned down","C.There is not enough information","A.Been refurbished"
"21","The cleaner is standing in the small play park and wants to polish the surgery’s floors, which way does he need to go to pick up his floor polisher?","A. Ahead","B.Back towards the surgery","C.There is not enough information","C.There is not enough information","A survey has taken responses from people who visit the surgery which asks which GP they prefer to go to based on their personality. Who is the most popular GP in town?","A.Malcom","B.Sue","C.There is not enough information","C.There is not enough information","The town’s surgery has recently___","A.Been refurbished","B.Burned down","C.There is not enough information","A.Been refurbished"
"22","The cleaner is standing in the small play park and wants to polish the surgery’s floors, which way does he need to go to pick up his floor polisher?","A. Ahead","B.Back towards the surgery","C.There is not enough information","B.Back towards the surgery","A survey has taken responses from people who visit the surgery which asks which GP they prefer to go to based on their personality. Who is the most popular GP in town?","A.Malcom","B.Sue","C.There is not enough information","B.Sue","The town’s surgery has recently___","A.Been refurbished","B.Burned down","C.There is not enough information","A.Been refurbished"
"23","The cleaner is standing in the small play park and wants to polish the surgery’s floors, which way does he need to go to pick up his floor polisher?","A. Ahead","B.Back towards the surgery","C.There is not enough information","C.There is not enough information","A survey has taken responses from people who visit the surgery which asks which GP they prefer to go to based on their personality. Who is the most popular GP in town?","A.Malcom","B.Sue","C.There is not enough information","B.Sue","The town’s surgery has recently___","A.Been refurbished","B.Burned down","C.There is not enough information","A.Been refurbished"
"24","The cleaner is standing in the small play park and wants to polish the surgery’s floors, which way does he need to go to pick up his floor polisher?","A. Ahead","B.Back towards the surgery","C.There is not enough information","B.Back towards the surgery","A survey has taken responses from people who visit the surgery which asks which GP they prefer to go to based on their personality. Who is the most popular GP in town?","A.Malcom","B.Sue","C.There is not enough information","C.There is not enough information","The town’s surgery has recently___","A.Been refurbished","B.Burned down","C.There is not enough information","A.Been refurbished"
"25","A local fisherman’s boat has recently broken down, the fisherman doesn’t want to delay the lighthouse repair too much but also needs his boat fixed so decides to ask the least best mechanic to help him. Whom should he ask?","A.Susan","B.Benjamin","C.There is not enough information","C.There is not enough information","Allan is standing in front of the weather station facing it, he wants to buy some coffee for his friends so they can take a break, in which direction does he need to go?","A. Left","B.Right","C.There is not enough information","C.There is not enough information","The Island has a ___ population","A.Large","B.Small","C.There is not enough information","B.Small"
"26","A local fisherman’s boat has recently broken down, the fisherman doesn’t want to delay the lighthouse repair too much but also needs his boat fixed so decides to ask the least best mechanic to help him. Whom should he ask?","A.Susan","B.Benjamin","C.There is not enough information","B.Benjamin","Allan is standing in front of the weather station facing it, he wants to buy some coffee for his friends so they can take a break, in which direction does he need to go?","A. Left","B.Right","C.There is not enough information","B.Right","The Island has a ___ population","A.Large","B.Small","C.There is not enough information","B.Small"
"27","A local fisherman’s boat has recently broken down, the fisherman doesn’t want to delay the lighthouse repair too much but also needs his boat fixed so decides to ask the least best mechanic to help him. Whom should he ask?","A.Susan","B.Benjamin","C.There is not enough information","C.There is not enough information","Allan is standing in front of the weather station facing it, he wants to buy some coffee for his friends so they can take a break, in which direction does he need to go?","A. Left","B.Right","C.There is not enough information","B.Right","The Island has a ___ population","A.Large","B.Small","C.There is not enough information","B.Small"
"28","A local fisherman’s boat has recently broken down, the fisherman doesn’t want to delay the lighthouse repair too much but also needs his boat fixed so decides to ask the least best mechanic to help him. Whom should he ask?","A.Susan","B.Benjamin","C.There is not enough information","B.Benjamin","Allan is standing in front of the weather station facing it, he wants to buy some coffee for his friends so they can take a break, in which direction does he need to go?","A. Left","B.Right","C.There is not enough information","C.There is not enough information","The Island has a ___ population","A.Large","B.Small","C.There is not enough information","B.Small"
"29","Allan is standing in front of the weather station facing it, he wants to buy some coffee for his friends so they can take a break, in which direction does he need to go?","A. Left","B.Right","C.There is not enough information","C.There is not enough information","A local fisherman’s boat has recently broken down, the fisherman doesn’t want to delay the lighthouse repair too much but also needs his boat fixed so decides to ask the least best mechanic to help him. Whom should he ask?","A.Susan","B.Benjamin","C.There is not enough information","C.There is not enough information","The Island has a ___ population","A.Large","B.Small","C.There is not enough information","B.Small"
